source,target,weight,bidirectional
N1,N2,10,1
N1,N3,8,1
N1,N7,5,1
N1,N8,7,1
N1,N9,12,1
N2,N3,6,1
N2,N6,10,1
N3,N7,8,1
N3,C10,10,1
N4,N5,8,1
N4,N6,7,1
N5,N6,12,1
N5,N10,10,1
N6,O7,12,1
N8,C10,8,1
N9,N2,10,1
N10,O1,15,1

C1,C2,5,1
C1,C3,8,1
C1,C9,6,1
C1,C11,7,1
C2,C3,4,1
C2,C6,5,1
C2,C7,4,1
C2,C10,8,1
C3,C4,10,1
C3,C8,8,1
C3,C11,6,1
C4,C5,5,1
C4,C12,5,1
C4,C13,6,1
C5,C12,5,1
C5,O4,8,1
C6,C7,5,1
C6,C10,7,1
C7,C10,6,1
C8,C4,7,1
C8,O1,15,1
C9,C10,5,1
C10,N3,10,1
C11,M1,10,1
C12,M2,10,1
C13,O4,12,1

O1,O2,10,1
O1,O5,14,1
O1,O7,8,1
O1,O8,10,1
O2,O3,8,1
O2,O4,10,1
O3,O4,6,1
O3,O5,10,1
O3,O6,10,1
O4,O6,12,1
O5,S5,12,1
O5,S7,18,1
O6,M5,10,1
O6,S7,12,1
O7,N6,12,1
O8,C8,12,1

S1,S2,8,1
S1,S5,10,1
S1,S6,10,1
S1,S7,8,1
S2,S3,10,1
S2,S7,10,1
S3,S4,12,1
S3,S6,10,1
S4,S5,14,1
S4,S8,8,1
S5,O5,12,1
S6,S4,15,1
S7,M5,12,1
S8,SU3,20,1

M1,M2,5,1
M1,M3,6,1
M1,M6,7,1
M2,M4,8,1
M2,M5,10,1
M3,M4,5,1
M4,M5,8,1
M4,M7,10,1
M5,O6,10,1
M6,C1,10,1
M7,SU1,8,1
M7,SU5,10,1

SU1,SU2,12,1
SU1,SU4,14,1
SU1,SU5,10,1
SU2,SU3,18,1
SU2,SU6,20,1
SU3,SU4,15,1
SU3,SU7,12,1
SU4,S1,18,1
SU4,SU5,10,1
SU5,SU3,15,1
SU5,SU6,15,1
SU6,SU7,18,1

N1,C1,15,1
N2,C1,12,1
N3,C1,14,1
C1,M1,10,1
C1,M2,12,1
M2,SU1,15,1

C3,C1,8,1
M1,SU1,12,1

C4,O4,12,1
O4,O5,15,1
M2,O4,12,1

C8,O4,12,1
O4,M5,15,1
M5,S7,12,1
S7,S1,8,1

O2,C8,12,1
O2,O6,15,1

N6,O1,14,1
O1,O6,18,1
O6,S2,15,1
S2,SU4,18,1

M4,S1,22,1
S1,S4,15,1

R01,C2,2,1
R02,C2,2,1
R03,C1,3,1
R04,C6,3,1
R06,C10,4,1
R07,C2,3,1
R09,C3,2,1
R13,C5,2,1
R14,C5,2,1
R15,C12,3,1

R05,N1,3,1
R08,N3,2,1
R10,N2,2,1

R11,O4,2,1
R12,O4,3,1
R20,O5,3,1

R16,S1,2,1
R17,S1,3,1
R18,S5,2,1
R19,S7,3,1

R21,M3,2,1
R22,M6,2,1
R23,M3,3,1

R24,SU1,2,1
R25,SU2,3,1
