id,name,zone,type,x,y
N1,Usaquén,NORTE,BARRIO,390,55
N2,Cedritos,NORTE,BARRIO,355,75
N3,Unicentro,NORTE,BARRIO,380,72
N4,Colina Campestre,NORTE,BARRIO,195,65
N5,Suba Centro,NORTE,BARRIO,160,85
N6,Niza,NORTE,BARRIO,225,100
N7,Santa Bárbara,NORTE,BARRIO,400,62
N8,La Calleja,NORTE,BARRIO,385,85
N9,El Codito,NORTE,BARRIO,395,38
N10,Tibabuyes,NORTE,BARRIO,130,95

C1,Chapinero,CENTRO_NORTE,BARRIO,370,155
C2,Zona T,CENTRO_NORTE,BARRIO,340,135
C3,Calle 72,CENTRO_NORTE,BARRIO,355,165
C4,Teusaquillo,CENTRO_NORTE,BARRIO,295,175
C5,Parkway,CENTRO_NORTE,BARRIO,275,185
C6,Rosales,CENTRO_NORTE,BARRIO,360,128
C7,El Nogal,CENTRO_NORTE,BARRIO,352,118
C8,Barrios Unidos,CENTRO_NORTE,BARRIO,265,150
C9,Quinta Camacho,CENTRO_NORTE,BARRIO,375,142
C10,Chicó,CENTRO_NORTE,BARRIO,385,112
C11,El Lago,CENTRO_NORTE,BARRIO,360,172
C12,Galerías,CENTRO_NORTE,BARRIO,285,195
C13,La Soledad,CENTRO_NORTE,BARRIO,268,210

O1,Engativá,OCCIDENTE,BARRIO,195,155
O2,Normandía,OCCIDENTE,BARRIO,185,185
O3,Modelia,OCCIDENTE,BARRIO,165,210
O4,Salitre,OCCIDENTE,BARRIO,220,210
O5,Fontibón,OCCIDENTE,BARRIO,145,250
O6,Puente Aranda,OCCIDENTE,BARRIO,248,255
O7,Álamos,OCCIDENTE,BARRIO,200,125
O8,Las Ferias,OCCIDENTE,BARRIO,222,140

S1,Kennedy Central,SUR_OCCIDENTE,BARRIO,215,335
S2,Castilla,SUR_OCCIDENTE,BARRIO,198,305
S3,Tintal,SUR_OCCIDENTE,BARRIO,158,325
S4,Bosa Centro,SUR_OCCIDENTE,BARRIO,128,365
S5,Plaza Las Américas,SUR_OCCIDENTE,BARRIO,163,270
S6,Patio Bonito,SUR_OCCIDENTE,BARRIO,172,358
S7,Corabastos,SUR_OCCIDENTE,BARRIO,240,282
S8,El Amparo,SUR_OCCIDENTE,BARRIO,112,378

M1,Santa Fe,CENTRO,BARRIO,335,228
M2,Centro Internacional,CENTRO,BARRIO,322,212
M3,La Candelaria,CENTRO,BARRIO,345,248
M4,San Victorino,CENTRO,BARRIO,308,262
M5,Los Mártires,CENTRO,BARRIO,272,268
M6,La Macarena,CENTRO,BARRIO,348,195
M7,Antonio Nariño,CENTRO,BARRIO,310,295

SU1,Restrepo,SUR,BARRIO,320,320
SU2,San Cristóbal,SUR,BARRIO,370,360
SU3,Ciudad Bolívar,SUR,BARRIO,290,408
SU4,Tunjuelito,SUR,BARRIO,268,365
SU5,Rafael Uribe,SUR,BARRIO,342,378
SU6,Usme,SUR,BARRIO,405,400
SU7,Olarte,SUR,BARRIO,308,428

R01,McDonald's Zona T,CENTRO_NORTE,RESTAURANT,333,128
R02,Crepes & Waffles Zona T,CENTRO_NORTE,RESTAURANT,347,130
R03,Subway Chapinero,CENTRO_NORTE,RESTAURANT,376,158
R04,El Corral Rosales,CENTRO_NORTE,RESTAURANT,366,122
R05,Andrés Carne de Res Chía,NORTE,RESTAURANT,392,48
R06,Harry Sasson,CENTRO_NORTE,RESTAURANT,390,108
R07,Criterion,CENTRO_NORTE,RESTAURANT,327,132
R08,Crepes Unicentro,NORTE,RESTAURANT,386,68
R09,McDonald's Calle 72,CENTRO_NORTE,RESTAURANT,361,168
R10,Pizza Hut Cedritos,NORTE,RESTAURANT,347,72
R11,Burger Master Salitre,OCCIDENTE,RESTAURANT,213,206
R12,KFC Salitre Plaza,OCCIDENTE,RESTAURANT,226,215
R13,McDonald's Parkway,CENTRO_NORTE,RESTAURANT,268,182
R14,La Hamburguesería Parkway,CENTRO_NORTE,RESTAURANT,280,190
R15,Wok Galerías,CENTRO_NORTE,RESTAURANT,278,198
R16,KFC Kennedy,SUR_OCCIDENTE,RESTAURANT,208,330
R17,Burger King Kennedy,SUR_OCCIDENTE,RESTAURANT,220,342
R18,McDonald's Plaza Américas,SUR_OCCIDENTE,RESTAURANT,156,264
R19,El Corral Corabastos,SUR_OCCIDENTE,RESTAURANT,248,278
R20,Subway Fontibón,OCCIDENTE,RESTAURANT,138,248
R21,La Puerta Falsa,CENTRO,RESTAURANT,350,250
R22,Restaurante La Macarena,CENTRO,RESTAURANT,352,192
R23,El Boliche Candelaria,CENTRO,RESTAURANT,348,244
R24,Frisby Restrepo,SUR,RESTAURANT,315,317
R25,McDonald's San Cristóbal,SUR,RESTAURANT,365,358
